order_item_id,order_id,product_id,quantity,unit_price,product_name,category,base_price,cost_price,gross_revenue,cost_amount,customer_id,sales_rep_id,region_id,order_date,shipping_date,order_status,sales_channel,delay_days,customer_name,customer_segment,created_date,region_name,country,sales_rep_name,region_id_rep,discount_id,discount_percentage,discount_code,return_id,return_date,return_reason,discount_amount,net_revenue,gross_profit,profit_margin,discount_leakage,return_leakage,delay_leakage,pricing_leakage,leakage_amount,is_leakage,leakage_score,order_delay,is_returned,year,quarter,month_num,month,season,customer_order_rank,repeat_customer_indicator,customer_ltv,high_risk_customer
ITEM00001,ORD0001,PROD001,6,5000.0,RIS Enterprise Core License,Software,5000.0,1000.0,30000.0,6000.0,CUST036,REP04,REG02,2024-07-01,2024-07-04,Completed,Partner,3,Core Services,Enterprise,2025-03-21,Europe,United Kingdom,Diana Prince,REG02,DSC0001,0.15,PROMO15,,,N/A,4500.0,25500.0,19500.0,0.7647058823529411,0.0,0.0,0.0,0.0,0.0,0,0.0,3,0,2024,2024Q3,7,2024-07,Summer,1,0,1037585.26,0
ITEM00002,ORD0001,PROD004,9,450.0,RIS Team Sync License,Software,450.0,90.0,4050.0,810.0,CUST036,REP04,REG02,2024-07-01,2024-07-04,Completed,Partner,3,Core Services,Enterprise,2025-03-21,Europe,United Kingdom,Diana Prince,REG02,DSC0001,0.15,PROMO15,,,N/A,607.5,3442.5,2632.5,0.7647058823529411,0.0,0.0,0.0,0.0,0.0,0,0.0,3,0,2024,2024Q3,7,2024-07,Summer,1,0,1037585.26,0
ITEM00003,ORD0002,PROD012,7,1200.0,24/7 Platinum Phone Support,Support,1200.0,500.0,8400.0,3500.0,CUST075,REP06,REG03,2024-07-01,2024-07-04,Completed,Partner,3,Beacon Corp,Strategic,2024-01-21,Asia-Pacific,Japan,Fiona Gallagher,REG03,DSC0002,0.15,PROMO15,,,N/A,1260.0,7140.0,3640.0,0.5098039215686274,0.0,0.0,0.0,0.0,0.0,0,0.0,3,0,2024,2024Q3,7,2024-07,Summer,1,0,251834.5,0
ITEM00004,ORD0003,PROD004,3,450.0,RIS Team Sync License,Software,450.0,90.0,1350.0,270.0,CUST097,REP05,REG03,2024-07-02,2024-07-06,Completed,Direct,4,Stellar Solutions,SMB,2025-04-05,Asia-Pacific,Japan,Ethan Hunt,REG03,DSC0003,0.25,REP_AUTH_25,,,N/A,337.5,1012.5,742.5,0.7333333333333333,67.49999999999999,0.0,0.0,0.0,67.49999999999999,1,0.06666666666666665,4,0,2024,2024Q3,7,2024-07,Summer,1,0,186420.45,0
ITEM00009,ORD0006,PROD007,3,120.0,RIS IoT Smart Sensor,Hardware,120.0,65.0,360.0,195.0,CUST074,REP05,REG03,2024-07-05,2024-07-07,Cancelled,Direct,2,Nova Partners,SMB,2025-03-31,Asia-Pacific,Japan,Ethan Hunt,REG03,DSC0004,0.2,REP_AUTH_20,,,N/A,72.0,288.0,93.0,0.3229166666666667,0.0,0.0,0.0,0.0,0.0,0,0.0,2,0,2024,2024Q3,7,2024-07,Summer,1,0,115267.91,1
ITEM00008,ORD0005,PROD005,2,1500.0,RIS Edge Processing Gateway,Hardware,1500.0,950.0,3000.0,1900.0,CUST030,REP04,REG02,2024-07-05,2024-07-06,Completed,Direct,1,Summit Ventures,SMB,2024-07-14,Europe,United Kingdom,Diana Prince,REG02,,0.0,NONE,,,N/A,0.0,3000.0,1100.0,0.36666666666666664,0.0,0.0,0.0,0.0,0.0,0,0.0,1,0,2024,2024Q3,7,2024-07,Summer,1,0,174230.0,1
ITEM00010,ORD0006,PROD005,1,1500.0,RIS Edge Processing Gateway,Hardware,1500.0,950.0,1500.0,950.0,CUST074,REP05,REG03,2024-07-05,2024-07-07,Cancelled,Direct,2,Nova Partners,SMB,2025-03-31,Asia-Pacific,Japan,Ethan Hunt,REG03,DSC0004,0.2,REP_AUTH_20,,,N/A,300.0,1200.0,250.0,0.20833333333333334,0.0,0.0,0.0,0.0,0.0,0,0.0,2,0,2024,2024Q3,7,2024-07,Summer,1,0,115267.91,1
ITEM00006,ORD0005,PROD014,1,300.0,Silver Email Support Plan,Support,300.0,120.0,300.0,120.0,CUST030,REP04,REG02,2024-07-05,2024-07-06,Completed,Direct,1,Summit Ventures,SMB,2024-07-14,Europe,United Kingdom,Diana Prince,REG02,,0.0,NONE,,,N/A,0.0,300.0,180.0,0.6,0.0,0.0,0.0,0.0,0.0,0,0.0,1,0,2024,2024Q3,7,2024-07,Summer,1,0,174230.0,1
ITEM00005,ORD0004,PROD015,3,4000.0,Dedicated Support Account Rep,Support,4000.0,2200.0,12000.0,6600.0,CUST067,REP04,REG02,2024-07-05,2024-07-09,Completed,Direct,4,Matrix Industries,SMB,2025-05-05,Europe,United Kingdom,Diana Prince,REG02,,0.0,NONE,,,N/A,0.0,12000.0,5400.0,0.45,0.0,0.0,0.0,0.0,0.0,0,0.0,4,0,2024,2024Q3,7,2024-07,Summer,1,0,114170.0,0
ITEM00007,ORD0005,PROD001,2,5000.0,RIS Enterprise Core License,Software,5000.0,1000.0,10000.0,2000.0,CUST030,REP04,REG02,2024-07-05,2024-07-06,Completed,Direct,1,Summit Ventures,SMB,2024-07-14,Europe,United Kingdom,Diana Prince,REG02,,0.0,NONE,,,N/A,0.0,10000.0,8000.0,0.8,0.0,0.0,0.0,0.0,0.0,0,0.0,1,0,2024,2024Q3,7,2024-07,Summer,1,0,174230.0,1
